tenant_key,entity_id,entity_name,entity_short_name,entity_scope,parent_entity_id,parent_entity_name,process_id,process,work_item_type,volume,cycle_time,bottleneck,data_provider_name,data_provider_role,source_artifact_type,source_artifact_name,capture_method,extraction_method,generated_by,validated_by,source_validation_status,source_as_of_date,known_gaps
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-003-process-2,contract review intake,approval,950,4 days,unclear owner,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-004-process-3,IT access request,exception,1075,5 days,duplicate entry,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-005-process-4,customer case escalation,ticket,1200,6 days,policy lookup,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-006-process-5,production schedule exception,case,1325,7 days,manual approval,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-007-process-6,supplier onboarding,approval,1450,8 days,missing master data,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-008-process-7,forecast variance review,exception,1575,2 days,unclear owner,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-009-process-8,quality hold resolution,ticket,1700,3 days,duplicate entry,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-010-process-9,work order dispatch,case,1825,4 days,policy lookup,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-011-process-10,trade deduction dispute,approval,1950,5 days,manual approval,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-012-process-11,route/service exception,exception,2075,6 days,missing master data,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-013-process-12,safety/compliance evidence,ticket,2200,7 days,unclear owner,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-NLS-014-process-13,data-quality certification,case,2325,8 days,duplicate entry,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-001-process-0,AP invoice exception,ticket,530,2 days,manual approval,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-002-process-1,employee service request,case,655,3 days,missing master data,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-003-process-2,contract review intake,approval,780,4 days,unclear owner,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-004-process-3,IT access request,exception,905,5 days,duplicate entry,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-005-process-4,customer case escalation,ticket,1030,6 days,policy lookup,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-006-process-5,production schedule exception,case,1155,7 days,manual approval,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-007-process-6,supplier onboarding,approval,1280,8 days,missing master data,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-008-process-7,forecast variance review,exception,1405,2 days,unclear owner,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-009-process-8,quality hold resolution,ticket,1530,3 days,duplicate entry,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-010-process-9,work order dispatch,case,1655,4 days,policy lookup,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-011-process-10,trade deduction dispute,approval,1780,5 days,manual approval,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-012-process-11,route/service exception,exception,1905,6 days,missing master data,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-013-process-12,safety/compliance evidence,ticket,2030,7 days,unclear owner,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-BMS-014-process-13,data-quality certification,case,2155,8 days,duplicate entry,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-001-process-0,AP invoice exception,ticket,520,2 days,manual approval,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-002-process-1,employee service request,case,645,3 days,missing master data,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-003-process-2,contract review intake,approval,770,4 days,unclear owner,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-004-process-3,IT access request,exception,895,5 days,duplicate entry,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-005-process-4,customer case escalation,ticket,1020,6 days,policy lookup,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-006-process-5,production schedule exception,case,1145,7 days,manual approval,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-007-process-6,supplier onboarding,approval,1270,8 days,missing master data,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-008-process-7,forecast variance review,exception,1395,2 days,unclear owner,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-009-process-8,quality hold resolution,ticket,1520,3 days,duplicate entry,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-010-process-9,work order dispatch,case,1645,4 days,policy lookup,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-011-process-10,trade deduction dispute,approval,1770,5 days,manual approval,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,Forge & Field,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,PROC-OPCO-FFF-012-process-11,route/service exception,exception,1895,6 days,missing master data,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
